open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,source
2021-12-31 14:00:00,3791.69,3813.14,3785.99,3794.21,8011.0944,2021-12-31 14:59:59.999,30415914.32114,18801.0,4122.0274,15651673.168379,binance
2021-12-31 15:00:00,3793.64,3803.02,3773.44,3784.64,14107.4687,2021-12-31 15:59:59.999,53459046.383604,27770.0,7784.7564,29497143.792351,binance
2021-12-31 16:00:00,3784.64,3788.45,3739.57,3745.49,11399.4038,2021-12-31 16:59:59.999,42956745.454841,26541.0,5313.7069,20021935.098214,binance
2021-12-31 17:00:00,3745.49,3754.26,3705.0,3722.03,12687.855099999999,2021-12-31 17:59:59.999,47290103.141829,30712.0,5890.9649,21955810.117431,binance
2021-12-31 18:00:00,3722.04,3725.01,3695.16,3704.43,10462.2432,2021-12-31 18:59:59.999,38809252.558667,23740.0,4870.4505,18074808.708875,binance
2021-12-31 19:00:00,3704.43,3705.93,3623.0,3626.27,20055.4006,2021-12-31 19:59:59.999,73386790.382052,50302.0,8503.2177,31123060.119077,binance
2021-12-31 20:00:00,3626.21,3663.87,3622.29,3645.04,12289.97,2021-12-31 20:59:59.999,44851255.897546,30779.0,6376.6055,23269654.291743,binance
2021-12-31 21:00:00,3645.04,3701.85,3633.84,3688.41,13070.9293,2021-12-31 21:59:59.999,47926729.240767,32205.0,6910.6642,25347125.964657,binance
2021-12-31 22:00:00,3688.12,3712.5,3673.55,3681.8,8131.409,2021-12-31 22:59:59.999,30031978.972415,21380.0,3829.3638,14142151.656249,binance
2021-12-31 23:00:00,3681.8,3697.9,3672.22,3676.23,6004.291,2021-12-31 23:59:59.999,22146433.615268,13214.0,3367.8659000000002,12423892.882739,binance
2022-01-01 00:00:00,3676.22,3730.0,3676.22,3723.04,9023.374,2022-01-01 00:59:59.999,33430053.335683,21702.0,4552.4363,16864789.87679,binance
2022-01-01 01:00:00,3723.04,3748.45,3714.1,3724.89,8997.7569,2022-01-01 01:59:59.999,33572623.190461,21666.0,4156.575,15508157.024431,binance
2022-01-01 02:00:00,3724.88,3738.47,3722.23,3728.32,5028.4531,2022-01-01 02:59:59.999,18757311.255541,13886.0,2224.3701,8297763.542962001,binance
2022-01-01 03:00:00,3728.41,3737.0,3721.84,3723.96,3543.1853,2022-01-01 03:59:59.999,13211030.720536,11475.0,1757.2116,6552446.104949,binance
2022-01-01 04:00:00,3723.96,3728.07,3707.24,3708.21,6117.282,2022-01-01 04:59:59.999,22732081.677614,14222.0,3308.0933,12291668.230392,binance
2022-01-01 05:00:00,3708.2,3765.27,3702.84,3735.61,9353.2056,2022-01-01 05:59:59.999,34969772.63518,23848.0,5086.5058,19008969.454698,binance
2022-01-01 06:00:00,3735.6,3742.67,3708.33,3711.92,5239.0026,2022-01-01 06:59:59.999,19525359.243837,13746.0,2525.8165,9414140.6244,binance
2022-01-01 07:00:00,3711.93,3724.93,3701.0,3715.31,6541.6499,2022-01-01 07:59:59.999,24286038.021862,17918.0,3431.6561,12740113.730689,binance
2022-01-01 08:00:00,3715.32,3733.84,3708.6,3721.4,4013.6403,2022-01-01 08:59:59.999,14934292.985917,13856.0,2095.3761,7796329.677569,binance
